458

0 7 14 21 28 
1 8 16 27 34 
4 9 15 23 29 
3 7 16 26 31 
3 12 15 25 31 
2 12 17 22 30 
3 8 14 21 30 
0 10 18 25 32 
5 13 14 27 33 
1 13 14 23 29 
4 13 19 22 32 
5 8 17 23 34 
0 7 15 24 33 
2 9 14 25 32 
1 11 18 21 28 
1 12 16 26 32 
1 10 20 27 29 
6 11 17 25 34 
3 8 19 22 28 
6 13 16 24 33 
1 9 18 27 31 
0 12 17 21 33 
5 11 20 23 31 
5 8 19 26 30 
4 10 15 21 32 
2 7 14 22 31 
6 10 15 24 34 
0 12 19 26 28 
1 9 14 23 30 
4 11 17 27 29 
2 13 20 24 30 
0 7 20 22 32 
6 7 16 26 29 
0 8 18 23 33 
2 9 17 22 34 
5 10 17 24 29 
5 9 16 27 29 
4 10 18 24 30 
3 13 20 23 32 
6 8 20 25 31 
2 10 16 23 28 
1 7 18 21 33 
4 12 20 26 30 
3 11 19 27 31 
2 11 20 21 34 
5 7 15 26 28 
0 10 14 26 29 
3 9 17 26 33 
6 9 19 25 29 
5 10 20 22 30 
4 13 16 25 34 
2 11 18 25 33 
3 12 15 21 34 
0 8 14 24 31 
4 8 19 23 30 
4 12 16 24 31 
6 9 18 22 31 
3 7 18 25 28 
4 11 15 25 30 
0 9 20 21 30 
2 13 18 26 28 
5 12 19 21 31 
1 8 17 23 31 
1 7 19 21 32 
1 11 20 27 33 
3 9 15 22 32 
5 10 18 26 34 
6 13 16 22 32 
0 12 14 25 34 
2 8 15 21 29 
3 7 18 27 34 
2 8 19 24 30 
5 11 17 26 31 
4 9 16 22 28 
2 10 17 23 32 
4 7 18 22 29 
0 13 15 27 28 
2 12 14 21 32 
5 12 16 22 33 
3 13 14 24 28 
6 10 17 26 31 
4 10 19 24 29 
4 7 14 26 33 
0 9 16 25 32 
5 13 19 25 31 
2 11 16 27 30 
1 12 18 26 29 
1 7 20 24 31 
6 7 15 22 34 
0 9 19 23 31 
3 10 15 27 30 
2 12 15 24 33 
5 9 20 24 34 
1 11 17 22 29 
1 13 19 21 30 
1 8 20 21 28 
6 9 14 26 30 
3 12 17 23 33 
0 8 17 25 30 
3 10 17 21 29 
1 7 14 27 29 
2 8 15 22 32 
5 11 15 21 28 
6 10 18 22 28 
0 13 16 27 29 
1 10 16 25 34 
4 9 20 23 33 
0 11 18 21 34 
2 12 20 26 31 
6 12 19 24 32 
5 8 14 23 29 
3 13 15 21 33 
0 12 17 27 31 
4 13 17 24 34 
6 11 16 23 32 
5 7 19 22 29 
3 11 15 26 29 
2 7 16 21 34 
5 13 15 22 30 
6 13 14 25 29 
3 13 17 25 28 
6 9 14 21 34 
4 12 18 27 28 
4 10 16 25 33 
1 9 17 24 30 
4 9 19 26 31 
0 7 20 23 28 
0 11 17 27 32 
0 8 14 25 32 
2 11 15 23 34 
2 10 20 25 33 
5 10 15 26 31 
2 10 18 22 33 
4 12 16 21 30 
2 8 19 27 32 
5 12 15 23 32 
3 12 20 24 29 
0 13 16 26 31 
3 13 18 27 33 
5 9 14 21 33 
6 12 19 22 30 
3 13 19 22 34 
1 7 19 26 31 
2 9 14 24 28 
2 9 16 25 31 
6 11 18 25 29 
1 11 14 24 31 
4 9 15 27 30 
4 11 20 26 34 
5 8 20 22 33 
3 10 17 25 32 
0 12 15 25 31 
5 7 16 25 30 
6 7 18 23 32 
5 12 14 24 28 
3 8 20 23 31 
3 13 14 22 33 
1 10 15 27 32 
4 11 15 26 33 
6 8 19 26 34 
2 8 16 24 29 
0 7 20 27 30 
2 11 19 23 30 
5 7 18 21 29 
5 10 17 27 34 
1 12 14 26 33 
3 10 19 23 34 
4 10 14 21 28 
3 9 18 22 30 
0 9 19 21 33 
5 7 17 24 32 
6 8 16 26 29 
4 10 20 22 32 
4 11 17 22 31 
2 7 15 26 28 
3 9 16 27 29 
1 10 18 26 30 
5 9 18 27 28 
0 9 14 24 29 
2 11 17 25 28 
1 10 14 23 30 
1 11 16 21 32 
5 7 20 24 31 
2 13 16 21 28 
0 13 19 22 33 
1 13 14 25 34 
6 7 18 27 33 
